事件ID,事件描述,事件上报时机,事件上报参数,UI触发点位截图,数据结构,文字备注,web 测试,ios 测试,android 测试
c_tryon_confirm,点击try on confirm,,args.spu,,"{
    ""args"": {
        ""post"": ""post_code_1""
        ""spu"": [""spu_id_1"",""spu_id_2""]
        ""sku"": [""sku_id_1"",""sku_id_2""]
    }
}","
1、增加了KOL帖子的try on",,☑️,☑️
v_kol_post_feeds,KOL主页曝光,进入KOL帖子页面,"args.kol
args.post",image.png,"{
    ""args"": {
        ""KOL"": ""kol_id_1"",
        ""post"": [
            ""post_code_1"",
            ""post_code_2"",
            ""post_code_3"",
            ""post_code_4""
        ]
    }
}",,,☑️,☑️
c_follow,关注专栏,点击follow按钮,args: 模块ID\专栏ID\帖子ID,image.png,"// 1. 明星帖子feed流
{
    ""args"": {
        ""page_key"": ""star_feeds"",
        ""star"": ""star_id""
    }
}
// 2. 明星详情
{
    ""args"": {
        ""page_key"": ""star_detail"",
        ""star"": ""star_id""
    }
}
// 3. 杂志
{
    ""args"": {
        ""page_key"": ""magazine"",
        ""magazine"": ""magazine_id""
    }
}
// 4. 品牌帖子Feed流
{
    ""args"": {
        ""page_key"": ""brand_feeds"",
        ""brand"": ""brand_id""
    }
}
// 5. 品牌详情
{
    ""args"": {
        ""page_key"": ""brand_detail"",
        ""brand"": ""brand_id""
    }
}
// 5. KOL
{
    ""args"": {
        ""page_key"": ""kol_feed"",
        ""KOL"": ""kol_id""
    }
}",增加KOL关注统计,,☑️,☑️
c_like,喜欢帖子,点击like的时候,args: page\模块ID\专栏ID\帖子ID,"image.png,image.png","// 1. KOL帖子详情页
{
    ""args"": {
        ""page_key"": ""kol_detail"",
        ""post"": ""post_code_1""
    }
}
// 2.品牌详情页
{
    ""args"": {
        ""page_key"": ""brand_detail"",
        ""post"": ""post_code_1""
    }
}
","1、kol帖子增加like
2、品牌帖子，只有在详情页支持like
图一：品牌帖子详情
图二：KOL帖子详情",,☑️,☑️
,,,,,,,,,
r_star_post_detail,明星帖子详情Feeds阅读,进入明星帖子页面,"args.star
args.post",image.png,"{
    ""args"": {
        ""star"": ""star_id_1"",
        ""topic: ""topic_1"",
        ""post"": [""post_code_1""]
    }
}",post曝光两秒的时候，上报阅读时间,,☑️,☑️
r_magazine_post_detail,杂志帖子阅读,进入杂志帖子页面,"args.magazine
args.post",专题主页样式1.png,"{
    ""args"": {
        ""magazine"": ""magazine_id_1"",
        ""post"": ""post_code_1""
    }
}",post曝光两秒的时候，上报阅读时间,,☑️,☑️
r_brand_post_detail,品牌帖子详情Feeds阅读,进入页面,args: 品牌ID/帖子ID/主题ID,"image.png,品牌帖子.png","{
    ""args"": {
        ""brand"": ""brand_id_1"",
        ""post"": [
            ""post_code_1"",
            ""post_code_2""
        ]
    }
}",post曝光两秒的时候，上报阅读时间,,☑️,☑️
r_kol_post_detail,KOL 帖子详情阅读,进入KOL帖子详情,"args.kol
args.post",image.png,"{
    ""args"": {
        ""blogger"": ""kol_id_1"",
        ""post"": [""post_code_1""]
    }
}",post曝光两秒的时候，上报阅读时间,,☑️,☑️
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
